subjectIx,blockIx,trialIx,trial,trial_alt,r,t_d,t_d_alt,RT_trial,RT_diff_trial
3,3,369,SB,SSS,RB,0.466,long,0.5964472213818226,0
3,3,370,IG,IG,RB,0.166,short,0.7481412413108046,0
3,3,371,NS,NS,RB,NaN,NA,0.5656666231734562,0.0156586266530212
3,3,372,SB,SSS,NR,0.366,intermediate,NaN,NaN
3,3,373,SB,SSS,RB,0.466,long,0.6073386685784499,0.015503938331676181
3,3,374,NS,NS,RB,NaN,NA,0.5027682687577908,0
3,3,375,SR,SAS,RL,0.166,short,0.9041815275559202,NaN
3,3,376,SR,SAS,RL,0.166,short,0.8231193637038814,NaN
3,3,377,NS,NS,RB,NaN,NA,0.6327276658194023,0.15594630304258317
3,3,378,SB,SSS,RB,0.466,long,0.504797135865374,0
3,3,379,NS,NS,RB,NaN,NA,0.5562319157252205,0.015604138330672868
3,3,380,NS,NS,RB,NaN,NA,0.6534745507451589,0
3,3,381,IG,IG,RB,0.066,short,0.7049576021381654,0.04677511427144054
3,3,382,SL,SAS,RB,0.466,long,0.5848499858766445,0
3,3,383,NS,NS,RB,NaN,NA,0.7388515312995878,0
3,3,384,NS,NS,RB,NaN,NA,0.6498479690781096,0.046761217919993214
3,3,385,NS,NS,RB,NaN,NA,0.7158298504364211,0.0312152248370694
3,3,386,SL,SAS,RB,0.366,intermediate,0.5801259582513012,0.015688979212427512
3,3,387,SB,SSS,NR,0.266,short,NaN,NaN
3,3,388,NS,NS,RB,NaN,NA,0.5593527433957206,0.015601212784531526
3,3,389,NS,NS,RB,NaN,NA,0.688787736085942,0
3,3,390,NS,NS,RB,NaN,NA,0.8250246264251473,0.031180483965727035
3,3,391,SB,SSS,NR,0.166,short,NaN,NaN
3,3,392,NS,NS,RB,NaN,NA,0.5623929356588633,0.015644730301573873
3,3,393,NS,NS,RB,NaN,NA,0.5359245942890993,0
3,3,394,NS,NS,RB,NaN,NA,0.6732808722008485,0
3,3,395,NS,NS,RB,NaN,NA,0.5519597023157985,0.01558841351652518
3,3,396,SB,SSS,RB,0.466,long,0.5722595270417514,0
3,3,397,NS,NS,RB,NaN,NA,0.5702463847483159,0
3,3,398,NS,NS,RB,NaN,NA,0.6217427839510492,0.015567934678983875
3,3,399,NS,NS,RB,NaN,NA,0.6654107840586221,0.015570494535495527
3,4,400,IG,IG,RB,0.466,long,0.5421139554637193,0.03124118906998774
3,4,401,NS,NS,RB,NaN,NA,0.5545778843734297,0
3,4,402,NS,NS,RB,NaN,NA,0.5748065817242605,0.015589510599966161
3,4,403,NS,NS,RB,NaN,NA,0.5171228326653363,0
3,4,404,SR,SAS,RL,0.166,short,0.9653046232560882,NaN
3,4,405,NS,NS,RB,NaN,NA,0.5019840392160404,0.015511617901211139
3,4,406,SL,SAS,RB,0.466,long,0.48434445129169035,0.015579636870825198
3,4,407,NS,NS,RB,NaN,NA,0.5201529683690751,0
3,4,408,IG,IG,RB,0.366,intermediate,0.7400356466023368,0.35878620501898695
3,4,409,NS,NS,RB,NaN,NA,0.5497660903238284,0.015544164612947498
3,4,410,NS,NS,RB,NaN,NA,0.8207467447791714,0
3,4,411,NS,NS,RB,NaN,NA,0.608098945209349,0.046793398942099884
3,4,412,NS,NS,RB,NaN,NA,0.6371927825093735,0.01549150476057548
3,4,413,NS,NS,RB,NaN,NA,0.6184429493514472,0.015593898919178173
3,4,414,NS,NS,RB,NaN,NA,0.5284103258454707,0
3,4,415,SB,SSS,NR,0.066,short,NaN,NaN
3,4,416,SB,SSS,NR,0.166,short,NaN,NaN
3,4,417,NS,NS,RB,NaN,NA,0.47334494168899255,0
3,4,418,SB,SSS,NR,0.166,short,NaN,NaN
3,4,419,SB,SSS,RB,0.366,intermediate,0.4816077845680411,0
