subjectIx,blockIx,trialIx,trial,trial_alt,r,t_d,t_d_alt,r_bi,trialCorrect
32,6,699,SB,SSS,NR,0.166,short,FALSE,TRUE
32,7,700,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,701,IG,NA,RB,0.066,short,TRUE,TRUE
32,7,702,SB,SSS,RB,0.466,long,TRUE,FALSE
32,7,703,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,704,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,705,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,706,SR,SAS,RB,0.466,long,TRUE,FALSE
32,7,707,SB,SSS,RB,0.366,intermediate,TRUE,FALSE
32,7,708,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,709,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,710,SL,SAS,RR,0.266,short,FALSE,TRUE
32,7,711,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,712,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,713,SL,SAS,RB,0.266,short,TRUE,FALSE
32,7,714,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,715,IG,NA,RB,0.466,long,TRUE,TRUE
32,7,716,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,717,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,718,SR,SAS,RB,0.366,intermediate,TRUE,FALSE
32,7,719,SR,SAS,RB,0.366,intermediate,TRUE,FALSE
32,7,720,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,721,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,722,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,723,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,724,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,725,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,726,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,727,SB,SSS,RB,0.266,short,TRUE,FALSE
32,7,728,IG,NA,RB,0.166,short,TRUE,TRUE
32,7,729,SR,SAS,RB,0.366,intermediate,TRUE,FALSE
32,7,730,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,731,SL,SAS,RR,0.166,short,FALSE,TRUE
32,7,732,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,733,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,734,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,735,SB,SSS,RB,0.366,intermediate,TRUE,FALSE
32,7,736,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,737,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,738,SB,SSS,NR,0.166,short,FALSE,TRUE
32,7,739,SB,SSS,NR,0.166,short,FALSE,TRUE
32,7,740,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,741,SB,SSS,RB,0.366,intermediate,TRUE,FALSE
32,7,742,SR,SAS,RR,0.266,short,FALSE,FALSE
32,7,743,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,744,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,745,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,746,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,747,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,748,IG,NA,RB,0.366,intermediate,TRUE,TRUE
32,7,749,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,750,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,751,IG,NA,RB,0.066,short,TRUE,TRUE
32,7,752,SL,SAS,RB,0.366,intermediate,TRUE,FALSE
32,7,753,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,754,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,755,SL,SAS,RR,0.166,short,FALSE,TRUE
32,7,756,IG,NA,RB,0.166,short,TRUE,TRUE
32,7,757,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,758,SL,SAS,RL,0.366,intermediate,FALSE,FALSE
32,7,759,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,760,SR,SAS,RB,0.366,intermediate,TRUE,FALSE
32,7,761,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,762,IG,NA,RB,0.166,short,TRUE,TRUE
32,7,763,IG,NA,RB,0.266,short,TRUE,TRUE
32,7,764,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,765,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,766,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,767,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,768,IG,NA,RB,0.466,long,TRUE,TRUE
32,7,769,SR,SAS,RL,0.166,short,FALSE,TRUE
32,7,770,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,771,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,772,SR,SAS,RB,0.366,intermediate,TRUE,FALSE
32,7,773,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,774,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,775,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,776,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,777,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,778,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,779,SL,SAS,RB,0.466,long,TRUE,FALSE
32,7,780,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,781,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,782,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,783,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,784,SR,SAS,RL,0.166,short,FALSE,TRUE
32,7,785,SR,SAS,RL,0.066,short,FALSE,TRUE
32,7,786,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,787,SR,SAS,RL,0.066,short,FALSE,TRUE
32,7,788,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,789,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,790,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,791,SB,SSS,RB,0.266,short,TRUE,FALSE
32,7,792,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,793,IG,NA,RB,0.366,intermediate,TRUE,TRUE
32,7,794,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,795,SL,SAS,RB,0.366,intermediate,TRUE,FALSE
32,7,796,SL,SAS,RR,0.266,short,FALSE,TRUE
32,7,797,IG,NA,RB,0.466,long,TRUE,TRUE
32,7,798,NS,NS,RB,NA,NA,TRUE,TRUE
32,7,799,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,800,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,801,SL,SAS,RR,0.166,short,FALSE,TRUE
32,8,802,SL,SAS,RB,0.466,long,TRUE,FALSE
32,8,803,IG,NA,RB,0.366,intermediate,TRUE,TRUE
32,8,804,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,805,SL,SAS,RB,0.266,short,TRUE,FALSE
32,8,806,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,807,IG,NA,RB,0.066,short,TRUE,TRUE
32,8,808,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,809,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,810,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,811,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,812,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,813,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,814,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,815,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,816,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,817,SB,SSS,RB,0.466,long,TRUE,FALSE
32,8,818,SR,SAS,RL,0.266,short,FALSE,TRUE
32,8,819,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,820,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,821,SR,SAS,RL,0.066,short,FALSE,TRUE
32,8,822,SR,SAS,RL,0.066,short,FALSE,TRUE
32,8,823,SL,SAS,RB,0.366,intermediate,TRUE,FALSE
32,8,824,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,825,IG,NA,RB,0.166,short,TRUE,TRUE
32,8,826,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,827,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,828,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,829,IG,NA,RB,0.366,intermediate,TRUE,TRUE
32,8,830,SR,SAS,RB,0.466,long,TRUE,FALSE
32,8,831,SB,SSS,NR,0.066,short,FALSE,TRUE
32,8,832,SB,SSS,NR,0.166,short,FALSE,TRUE
32,8,833,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,834,SL,SAS,RB,0.466,long,TRUE,FALSE
32,8,835,IG,NA,RB,0.066,short,TRUE,TRUE
32,8,836,IG,NA,RB,0.366,intermediate,TRUE,TRUE
32,8,837,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,838,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,839,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,840,SL,SAS,RB,0.466,long,TRUE,FALSE
32,8,841,SB,SSS,RB,0.466,long,TRUE,FALSE
32,8,842,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,843,IG,NA,RB,0.366,intermediate,TRUE,TRUE
32,8,844,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,845,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,846,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,847,IG,NA,RB,0.266,short,TRUE,TRUE
32,8,848,SL,SAS,RR,0.166,short,FALSE,TRUE
32,8,849,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,850,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,851,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,852,IG,NA,RB,0.466,long,TRUE,TRUE
32,8,853,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,854,SB,SSS,RB,0.266,short,TRUE,FALSE
32,8,855,SL,SAS,RB,0.166,short,TRUE,FALSE
32,8,856,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,857,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,858,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,859,SL,SAS,RR,0.066,short,FALSE,TRUE
32,8,860,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,861,IG,NA,RB,0.066,short,TRUE,TRUE
32,8,862,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,863,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,864,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,865,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,866,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,867,SR,SAS,RB,0.266,short,TRUE,FALSE
32,8,868,SL,SAS,RR,0.166,short,FALSE,TRUE
32,8,869,IG,NA,RB,0.366,intermediate,TRUE,TRUE
32,8,870,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,871,SR,SAS,RB,0.466,long,TRUE,FALSE
32,8,872,SR,SAS,RB,0.366,intermediate,TRUE,FALSE
32,8,873,IG,NA,RB,0.466,long,TRUE,TRUE
32,8,874,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,875,SB,SSS,RB,0.466,long,TRUE,FALSE
32,8,876,SB,SSS,NR,0.166,short,FALSE,TRUE
32,8,877,SB,SSS,NR,0.066,short,FALSE,TRUE
32,8,878,SR,SAS,RLO,0.266,short,FALSE,FALSE
32,8,879,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,880,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,881,IG,NA,NOC,0.166,short,FALSE,FALSE
32,8,882,SR,SAS,RB,0.266,short,TRUE,FALSE
32,8,883,SR,SAS,RL,0.266,short,FALSE,TRUE
32,8,884,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,885,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,886,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,887,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,888,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,889,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,890,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,891,SL,SAS,RR,0.066,short,FALSE,TRUE
32,8,892,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,893,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,894,SL,SAS,RB,0.266,short,TRUE,FALSE
32,8,895,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,896,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,897,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,898,NS,NS,RB,NA,NA,TRUE,TRUE
32,8,899,NS,NS,RB,NA,NA,TRUE,TRUE
32,9,900,NS,NS,RB,NA,NA,TRUE,TRUE
32,9,901,NS,NS,RB,NA,NA,TRUE,TRUE
32,9,902,NS,NS,RB,NA,NA,TRUE,TRUE
32,9,903,SB,SSS,RBO,0.466,long,TRUE,FALSE
32,9,904,SR,SAS,RL,0.066,short,FALSE,TRUE
32,9,905,SL,SAS,RB,0.466,long,TRUE,FALSE
32,9,906,NS,NS,RB,NA,NA,TRUE,TRUE
32,9,907,SL,SAS,RRO,0.066,short,FALSE,FALSE
32,9,908,NS,NS,RB,NA,NA,TRUE,TRUE
32,9,909,SL,SAS,RB,0.266,short,TRUE,FALSE
32,9,910,NS,NS,RB,NA,NA,TRUE,TRUE
32,9,911,NS,NS,RB,NA,NA,TRUE,TRUE
32,9,912,NS,NS,RB,NA,NA,TRUE,TRUE
32,9,913,NS,NS,RB,NA,NA,TRUE,TRUE
32,9,914,SB,SSS,RB,0.266,short,TRUE,FALSE
32,9,915,SB,SSS,RB,0.466,long,TRUE,FALSE
32,9,916,NS,NS,RB,NA,NA,TRUE,TRUE
32,9,917,NS,NS,RB,NA,NA,TRUE,TRUE
32,9,918,NS,NS,RB,NA,NA,TRUE,TRUE
32,9,919,NS,NS,RB,NA,NA,TRUE,TRUE
32,9,920,NS,NS,RB,NA,NA,TRUE,TRUE
32,9,921,NS,NS,RB,NA,NA,TRUE,TRUE
32,9,922,NS,NS,RB,NA,NA,TRUE,TRUE
32,9,923,NS,NS,RB,NA,NA,TRUE,TRUE
32,9,924,NS,NS,RB,NA,NA,TRUE,TRUE
32,9,925,NS,NS,RB,NA,NA,TRUE,TRUE
32,9,926,NS,NS,RB,NA,NA,TRUE,TRUE
32,9,927,NS,NS,RB,NA,NA,TRUE,TRUE
32,9,928,NS,NS,RB,NA,NA,TRUE,TRUE
32,9,929,NS,NS,RB,NA,NA,TRUE,TRUE
32,9,930,NS,NS,RB,NA,NA,TRUE,TRUE
32,9,931,NS,NS,RB,NA,NA,TRUE,TRUE
32,9,932,NS,NS,RB,NA,NA,TRUE,TRUE
32,9,933,NS,NS,RB,NA,NA,TRUE,TRUE
32,9,934,NS,NS,RB,NA,NA,TRUE,TRUE
32,9,935,SR,SAS,RR,0.166,short,FALSE,FALSE
32,9,936,NS,NS,RB,NA,NA,TRUE,TRUE
32,9,937,NS,NS,RB,NA,NA,TRUE,TRUE
32,9,938,NS,NS,RB,NA,NA,TRUE,TRUE
32,9,939,NS,NS,RB,NA,NA,TRUE,TRUE
32,9,940,NS,NS,RB,NA,NA,TRUE,TRUE
32,9,941,NS,NS,RB,NA,NA,TRUE,TRUE
32,9,942,NS,NS,RB,NA,NA,TRUE,TRUE
32,9,943,NS,NS,RB,NA,NA,TRUE,TRUE
32,9,944,NS,NS,RB,NA,NA,TRUE,TRUE
32,9,945,NS,NS,RB,NA,NA,TRUE,TRUE
32,9,946,SB,SSS,RB,0.366,intermediate,TRUE,FALSE
32,9,947,SB,SSS,RB,0.366,intermediate,TRUE,FALSE
32,9,948,NS,NS,RB,NA,NA,TRUE,TRUE
32,9,949,SL,SAS,RR,0.166,short,FALSE,TRUE
32,9,950,IG,NA,RB,0.466,long,TRUE,TRUE
32,9,951,SB,SSS,NR,0.066,short,FALSE,TRUE
32,9,952,NS,NS,RB,NA,NA,TRUE,TRUE
32,9,953,NS,NS,RB,NA,NA,TRUE,TRUE
